Simulation of a queueing system with,10 , servers
Mean interarrival time, 50.00, minutes
Mean service time, 200.00, minutes
With Queue
LIFO discipline

, 1a corrida, 2a corrida, 3a corrida, 4a corrida, 5a corrida, 6a corrida, 7a corrida, 8a corrida, 9a corrida, 10a corrida
Number of customers,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000, costumers
Average delay in queue per client,0.152,0.087,0.069,0.122,0.278,0.065,0.127,0.074,0.109,0.166, minutes
Average number of clients in queue,0.003,0.002,0.001,0.002,0.006,0.001,0.003,0.001,0.002,0.003, clients
Waiting rate,0.0026,0.0029,0.0025,0.0033,0.0052,0.0029,0.0033,0.0030,0.0024,0.0035
Server 1 utilization,0.3788,0.3780,0.3771,0.3767,0.3822,0.3764,0.3755,0.3714,0.3797,0.3815
Server 2 utilization,0.3788,0.3780,0.3771,0.3771,0.3822,0.3763,0.3756,0.3714,0.3798,0.3816
Server 3 utilization,0.3787,0.3781,0.3774,0.3767,0.3823,0.3762,0.3755,0.3712,0.3797,0.3814
Server 4 utilization,0.3788,0.3783,0.3771,0.3769,0.3822,0.3764,0.3755,0.3716,0.3799,0.3818
Server 5 utilization,0.3789,0.3785,0.3771,0.3776,0.3822,0.3762,0.3757,0.3713,0.3797,0.3815
Server 6 utilization,0.3788,0.3782,0.3772,0.3767,0.3822,0.3762,0.3756,0.3713,0.3797,0.3814
Server 7 utilization,0.3787,0.3780,0.3773,0.3770,0.3822,0.3764,0.3754,0.3712,0.3798,0.3814
Server 8 utilization,0.3789,0.3783,0.3771,0.3767,0.3823,0.3762,0.3758,0.3713,0.3797,0.3814
Server 9 utilization,0.3788,0.3780,0.3771,0.3768,0.3824,0.3763,0.3755,0.3713,0.3797,0.3817
Server 10 utilization,0.3789,0.3782,0.3771,0.3767,0.3823,0.3765,0.3754,0.3714,0.3800,0.3814
Soma dos servidores,3.7883,3.7818,3.7716,3.7689,3.8223,3.7631,3.7554,3.7134,3.7977,3.8151
Simulation time,987591.438,999366.688,1003915.313,998179.500,987801.875,999988.563,999719.125,1011793.250,997024.813,992226.438, minutes

Intervalo de Confianca
[ 0.003 0.004 ] 

Valores Teoricos
Trafego Oferecido , 4.000
Earlang - C, 0.009
W_e, 33.333
L_q, 0.006